what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1523448225299
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1523448227483
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1523448247189
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1523448247220
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1523448250652
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1523448253839
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1523448332668
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1523448339474
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1523448342407
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1523448346950
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1523448347964
error,log,,,"No Byte Stream Services found for Nios II Console View",1523448352941
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1523448361043
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1523448371468
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1523448371983
error,log,,,"No Byte Stream Services found for Nios II Console View",1523448374123
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1523448383175
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1523448384189
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1523448387888
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1523448388949
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1523448390415
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1523448391353
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1523448392414
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1523448392898
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1523448393413
